position,driver_number,lap_duration,meeting_key,session_key
1,16,101.365,1245,9594
2,81,101.686,1245,9594
3,55,101.805,1245,9594
4,11,101.813,1245,9594
5,63,101.874,1245,9594
6,1,102.023,1245,9594
7,14,102.369,1245,9594
8,43,102.53,1245,9594
9,23,102.859,1245,9594
10,50,102.968,1245,9594
11,22,103.035,1245,9594
12,27,103.191,1245,9594
13,18,103.404,1245,9594
14,3,103.547,1245,9594
15,4,103.609,1245,9594
16,77,103.618,1245,9594
17,24,104.246,1245,9594
18,10,,1245,9594
19,44,102.289,1245,9594
20,31,104.504,1245,9594
