position,driver_number,lap_duration,meeting_key,session_key
1,4,83.405,1249,9627
2,63,83.578,1249,9627
3,22,84.111,1249,9627
4,31,84.475,1249,9627
5,30,84.484,1249,9627
6,16,84.525,1249,9627
7,23,84.657,1249,9627
8,81,84.686,1249,9627
9,14,88.998,1249,9627
10,18,,1249,9627
11,77,86.472,1249,9627
12,11,88.158,1249,9627
13,10,89.614,1249,9627
14,44,91.15,1249,9627
15,50,91.229,1249,9627
16,43,91.27,1249,9627
17,1,87.771,1249,9627
18,27,91.623,1249,9627
19,24,92.263,1249,9627
20,55,89.406,1249,9627
