position,driver_number,lap_duration,meeting_key,session_key
1,4,100.562,1265,9935
2,81,100.647,1265,9935
3,16,100.9,1265,9935
4,1,100.903,1265,9935
5,23,101.201,1265,9935
6,63,101.26,1265,9935
7,22,101.284,1265,9935
8,6,101.31,1265,9935
9,30,101.328,1265,9935
10,5,102.387,1265,9935
11,31,101.525,1265,9935
12,87,101.617,1265,9935
13,10,101.633,1265,9935
14,27,101.707,1265,9935
15,43,102.022,1265,9935
16,18,102.502,1265,9935
17,55,101.758,1265,9935
18,44,101.939,1265,9935
19,12,102.139,1265,9935
20,14,102.385,1265,9935
