position,driver_number,lap_duration,meeting_key,session_key
1,4,79.327,1244,9586
2,81,79.436,1244,9586
3,63,79.44,1244,9586
4,16,79.461,1244,9586
5,55,79.467,1244,9586
6,44,79.513,1244,9586
7,1,80.022,1244,9586
8,11,80.062,1244,9586
9,23,80.299,1244,9586
10,27,80.339,1244,9586
11,14,80.421,1244,9586
12,3,80.479,1244,9586
13,20,80.698,1244,9586
14,10,80.738,1244,9586
15,31,80.766,1244,9586
16,22,80.945,1244,9586
17,18,81.013,1244,9586
18,43,81.061,1244,9586
19,77,81.101,1244,9586
20,24,81.445,1244,9586
