position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,78,25.0,False,False,False,6531.98,0,1210,9094
2.0,14,78,18.0,False,False,False,6559.901,27.921,1210,9094
3.0,31,78,15.0,False,False,False,6568.97,36.99,1210,9094
4.0,44,78,13.0,False,False,False,6571.042,39.062,1210,9094
5.0,63,78,10.0,False,False,False,6588.264,56.284,1210,9094
6.0,16,78,8.0,False,False,False,6593.87,61.89,1210,9094
7.0,10,78,6.0,False,False,False,6594.342,62.362,1210,9094
8.0,55,78,4.0,False,False,False,6595.371,63.391,1210,9094
9.0,4,77,2.0,False,False,False,,+1 LAP,1210,9094
10.0,81,77,1.0,False,False,False,,+1 LAP,1210,9094
11.0,77,77,0.0,False,False,False,,+1 LAP,1210,9094
12.0,21,77,0.0,False,False,False,,+1 LAP,1210,9094
13.0,24,77,0.0,False,False,False,,+1 LAP,1210,9094
14.0,23,77,0.0,False,False,False,,+1 LAP,1210,9094
15.0,22,76,0.0,False,False,False,,+2 LAPS,1210,9094
16.0,11,76,0.0,False,False,False,,+2 LAPS,1210,9094
17.0,27,76,0.0,False,False,False,,+2 LAPS,1210,9094
18.0,2,76,0.0,False,False,False,,+2 LAPS,1210,9094
19.0,20,70,0.0,True,False,False,,,1210,9094
,18,53,0.0,True,False,False,,,1210,9094
