position,driver_number,lap_duration,meeting_key,session_key
1,1,93.66,1233,9664
2,11,93.982,1233,9664
3,14,94.148,1233,9664
4,4,94.165,1233,9664
5,81,94.273,1233,9664
6,16,94.289,1233,9664
7,55,94.297,1233,9664
8,63,94.433,1233,9664
9,27,94.604,1233,9664
10,77,94.665,1233,9664
11,18,94.838,1233,9664
12,3,94.934,1233,9664
13,31,95.223,1233,9664
14,23,95.241,1233,9664
15,10,95.463,1233,9664
16,24,95.505,1233,9664
17,20,95.516,1233,9664
18,44,95.573,1233,9664
19,22,95.746,1233,9664
20,2,96.358,1233,9664
