position,driver_number,lap_duration,meeting_key,session_key
1,4,71.383,1238,9535
2,1,71.403,1238,9535
3,44,71.701,1238,9535
4,63,71.703,1238,9535
5,16,71.731,1238,9535
6,55,71.736,1238,9535
7,10,71.857,1238,9535
8,31,72.125,1238,9535
9,81,,1238,9535
10,14,72.128,1238,9535
11,11,72.061,1238,9535
12,77,72.227,1238,9535
13,27,72.31,1238,9535
14,18,72.372,1238,9535
15,24,72.738,1238,9535
16,20,72.937,1238,9535
17,22,72.985,1238,9535
18,3,73.075,1238,9535
19,2,73.509,1238,9535
20,23,73.153,1238,9535
