position,driver_number,lap_duration,meeting_key,session_key
1,63,70.899,1263,9959
2,1,71.059,1263,9959
3,81,71.12,1263,9959
4,12,71.391,1263,9959
5,44,71.526,1263,9959
6,14,71.586,1263,9959
7,4,71.625,1263,9959
8,16,71.682,1263,9959
9,23,71.907,1263,9959
10,43,72.142,1263,9959
11,27,72.183,1263,9959
12,6,71.867,1263,9959
13,87,72.34,1263,9959
14,31,72.634,1263,9959
15,5,72.385,1263,9959
16,55,72.398,1263,9959
17,18,72.517,1263,9959
18,22,72.102,1263,9959
19,30,72.525,1263,9959
20,10,72.667,1263,9959
