position,driver_number,lap_duration,meeting_key,session_key
1,4,75.227,1241,9562
2,81,75.249,1241,9562
3,1,75.273,1241,9562
4,55,75.696,1241,9562
5,44,75.854,1241,9562
6,16,75.905,1241,9562
7,14,76.043,1241,9562
8,18,76.244,1241,9562
9,3,76.447,1241,9562
10,22,76.477,1241,9562
11,27,76.317,1241,9562
12,77,76.384,1241,9562
13,23,76.429,1241,9562
14,2,76.543,1241,9562
15,20,76.548,1241,9562
16,11,77.886,1241,9562
17,63,77.968,1241,9562
18,24,78.037,1241,9562
19,31,78.049,1241,9562
20,10,78.166,1241,9562
