position,driver_number,lap_duration,meeting_key,session_key
1,81,79.387,1275,9846
2,4,79.495,1275,9846
3,1,79.651,1275,9846
4,63,79.662,1275,9846
5,12,79.846,1275,9846
6,6,80.114,1275,9846
7,55,80.287,1275,9846
8,14,80.418,1275,9846
9,10,80.477,1275,9846
10,16,80.561,1275,9846
11,27,80.353,1275,9846
12,30,80.433,1275,9846
13,87,80.438,1275,9846
14,23,80.629,1275,9846
15,22,80.761,1275,9846
16,31,80.864,1275,9846
17,44,80.907,1275,9846
18,18,81.058,1275,9846
19,5,80.534,1275,9846
20,43,81.137,1275,9846
