position,driver_number,lap_duration,meeting_key,session_key
1,16,75.372,1266,9924
2,81,75.398,1266,9924
3,4,75.413,1266,9924
4,63,75.425,1266,9924
5,14,75.481,1266,9924
6,18,75.498,1266,9924
7,5,75.725,1266,9924
8,1,75.728,1266,9924
9,30,75.821,1266,9924
10,6,75.915,1266,9924
11,87,75.694,1266,9924
12,44,75.702,1266,9924
13,55,75.781,1266,9924
14,43,76.159,1266,9924
15,12,76.386,1266,9924
16,22,75.899,1266,9924
17,10,75.966,1266,9924
18,31,76.023,1266,9924
19,27,76.081,1266,9924
20,23,76.223,1266,9924
