position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,16,56,25.0,False,False,False,5709.639,0,1247,9617
2.0,55,56,18.0,False,False,False,5718.201,8.562,1247,9617
3.0,1,56,15.0,False,False,False,5729.051,19.412,1247,9617
4.0,4,56,12.0,False,False,False,5729.993,20.354,1247,9617
5.0,81,56,10.0,False,False,False,5731.56,21.921,1247,9617
6.0,63,56,8.0,False,False,False,5765.934,56.295,1247,9617
7.0,11,56,6.0,False,False,False,5768.711,59.072,1247,9617
8.0,27,56,4.0,False,False,False,5772.596,62.957,1247,9617
9.0,30,56,2.0,False,False,False,5780.202,70.563,1247,9617
10.0,43,56,1.0,False,False,False,5781.618,71.979,1247,9617
11.0,20,56,0.0,False,False,False,5789.421,79.782,1247,9617
12.0,10,56,0.0,False,False,False,5800.197,90.558,1247,9617
13.0,14,55,0.0,False,False,False,,+1 LAP,1247,9617
14.0,22,55,0.0,False,False,False,,+1 LAP,1247,9617
15.0,18,55,0.0,False,False,False,,+1 LAP,1247,9617
16.0,23,55,0.0,False,False,False,,+1 LAP,1247,9617
17.0,77,55,0.0,False,False,False,,+1 LAP,1247,9617
18.0,31,55,0.0,False,False,False,,+1 LAP,1247,9617
19.0,24,55,0.0,False,False,False,,+1 LAP,1247,9617
,44,1,0.0,True,False,False,,,1247,9617
