position,driver_number,lap_duration,meeting_key,session_key
1,1,84.892,1277,9943
2,81,84.995,1277,9943
3,4,85.01,1277,9943
4,63,85.029,1277,9943
5,44,85.095,1277,9943
6,16,85.121,1277,9943
7,14,85.621,1277,9943
8,10,85.785,1277,9943
9,55,85.746,1277,9943
10,12,85.374,1277,9943
11,22,85.826,1277,9943
12,6,85.864,1277,9943
13,23,85.889,1277,9943
14,31,85.95,1277,9943
15,30,86.44,1277,9943
16,5,86.446,1277,9943
17,18,86.504,1277,9943
18,87,85.471,1277,9943
19,27,86.574,1277,9943
20,43,87.06,1277,9943
