position,driver_number,lap_duration,meeting_key,session_key
1,4,63.971,1264,9951
2,16,64.492,1264,9951
3,81,64.554,1264,9951
4,44,64.582,1264,9951
5,63,64.763,1264,9951
6,30,64.926,1264,9951
7,1,64.929,1264,9951
8,5,65.132,1264,9951
9,12,65.276,1264,9951
10,10,65.649,1264,9951
11,14,65.128,1264,9951
12,23,65.205,1264,9951
13,6,65.226,1264,9951
14,43,65.288,1264,9951
15,87,65.312,1264,9951
16,18,65.329,1264,9951
17,31,65.364,1264,9951
18,22,65.369,1264,9951
19,55,65.582,1264,9951
20,27,65.606,1264,9951
