position,driver_number,lap_duration,meeting_key,session_key
1,1,78.792,1268,9908
2,4,78.869,1268,9908
3,81,78.982,1268,9908
4,16,79.007,1268,9908
5,63,79.157,1268,9908
6,12,79.2,1268,9908
7,5,79.39,1268,9908
8,14,79.424,1268,9908
9,22,79.519,1268,9908
10,44,79.124,1268,9908
11,87,79.446,1268,9908
12,27,79.498,1268,9908
13,55,79.528,1268,9908
14,23,79.583,1268,9908
15,31,79.707,1268,9908
16,6,79.917,1268,9908
17,18,79.948,1268,9908
18,43,79.992,1268,9908
19,10,80.103,1268,9908
20,30,80.279,1268,9908
