position,driver_number,lap_duration,meeting_key,session_key
1,4,107.934,1274,9854
2,1,108.257,1274,9854
3,55,108.296,1274,9854
4,63,108.803,1274,9854
5,81,108.961,1274,9854
6,30,109.062,1274,9854
7,14,109.466,1274,9854
8,6,109.554,1274,9854
9,16,109.872,1274,9854
10,10,111.54,1274,9854
11,27,112.781,1274,9854
12,18,112.85,1274,9854
13,31,112.987,1274,9854
14,87,113.094,1274,9854
15,43,113.683,1274,9854
16,23,116.22,1274,9854
17,12,116.314,1274,9854
18,5,116.674,1274,9854
19,44,117.115,1274,9854
20,22,116.798,1274,9854
