position,driver_number,lap_duration,meeting_key,session_key
1,81,71.546,1262,9967
2,4,71.755,1262,9967
3,1,71.848,1262,9967
4,63,71.848,1262,9967
5,44,72.045,1262,9967
6,12,72.111,1262,9967
7,16,72.131,1262,9967
8,10,72.199,1262,9967
9,6,72.252,1262,9967
10,14,72.284,1262,9967
11,23,72.641,1262,9967
12,5,72.756,1262,9967
13,30,72.763,1262,9967
14,18,73.058,1262,9967
15,87,73.315,1262,9967
16,27,73.19,1262,9967
17,31,73.201,1262,9967
18,55,73.203,1262,9967
19,43,73.334,1262,9967
20,22,73.385,1262,9967
