position,driver_number,lap_duration,meeting_key,session_key
1,4,75.586,1272,9873
2,16,75.848,1272,9873
3,44,75.938,1272,9873
4,63,76.034,1272,9873
5,1,76.07,1272,9873
6,12,76.118,1272,9873
7,81,76.174,1272,9873
8,6,76.252,1272,9873
9,87,76.46,1272,9873
10,22,76.816,1272,9873
11,31,76.837,1272,9873
12,55,76.172,1272,9873
13,27,77.016,1272,9873
14,14,77.103,1272,9873
15,30,78.072,1272,9873
16,5,77.412,1272,9873
17,23,77.49,1272,9873
18,10,77.546,1272,9873
19,18,77.606,1272,9873
20,43,77.67,1272,9873
