position,driver_number,lap_duration,meeting_key,session_key
1,81,89.841,1257,10010
2,16,90.175,1257,10010
3,63,90.009,1257,10010
4,10,90.216,1257,10010
5,12,90.213,1257,10010
6,4,90.267,1257,10010
7,1,90.423,1257,10010
8,55,90.68,1257,10010
9,44,90.772,1257,10010
10,22,91.303,1257,10010
11,7,91.245,1257,10010
12,6,91.271,1257,10010
13,14,91.886,1257,10010
14,31,,1257,10010
15,23,,1257,10010
16,27,92.067,1257,10010
17,30,92.165,1257,10010
18,5,92.186,1257,10010
19,18,92.283,1257,10010
20,87,92.373,1257,10010
