position,driver_number,lap_duration,meeting_key,session_key
1,1,86.983,1256,10002
2,4,86.995,1256,10002
3,81,87.027,1256,10002
4,16,87.299,1256,10002
5,63,87.318,1256,10002
6,12,87.555,1256,10002
7,6,87.569,1256,10002
8,44,87.61,1256,10002
9,23,87.615,1256,10002
10,87,87.867,1256,10002
11,10,87.822,1256,10002
12,14,87.897,1256,10002
13,30,87.906,1256,10002
14,22,88.0,1256,10002
15,55,87.836,1256,10002
16,27,88.57,1256,10002
17,5,88.622,1256,10002
18,31,88.696,1256,10002
19,7,88.877,1256,10002
20,18,89.271,1256,10002
