position,driver_number,lap_duration,meeting_key,session_key
1,1,86.204,1259,10029
2,4,86.269,1259,10029
3,12,86.271,1259,10029
4,81,86.375,1259,10029
5,63,86.385,1259,10029
6,55,86.569,1259,10029
7,23,86.682,1259,10029
8,16,86.754,1259,10029
9,31,86.824,1259,10029
10,22,86.943,1259,10029
11,6,86.987,1259,10029
12,44,87.006,1259,10029
13,5,87.151,1259,10029
14,7,87.186,1259,10029
15,30,87.363,1259,10029
16,27,87.473,1259,10029
17,14,87.604,1259,10029
18,18,87.83,1259,10029
19,87,87.999,1259,10029
20,10,87.71,1259,10029
