position,driver_number,lap_duration,meeting_key,session_key
1,63,80.575,1251,9646
2,1,80.52,1251,9646
3,4,80.772,1251,9646
4,81,80.829,1251,9646
5,16,80.852,1251,9646
6,44,81.011,1251,9646
7,55,81.041,1251,9646
8,14,81.251,1251,9646
9,11,81.425,1251,9646
10,20,81.5,1251,9646
11,10,81.437,1251,9646
12,24,81.501,1251,9646
13,77,81.731,1251,9646
14,22,81.771,1251,9646
15,18,81.911,1251,9646
16,23,82.39,1251,9646
17,30,82.411,1251,9646
18,27,82.442,1251,9646
19,43,82.594,1251,9646
20,31,82.714,1251,9646
