position,driver_number,lap_duration,meeting_key,session_key
1,1,64.314,1239,9541
2,4,64.718,1239,9541
3,63,64.84,1239,9541
4,55,64.851,1239,9541
5,44,64.903,1239,9541
6,16,65.044,1239,9541
7,81,65.048,1239,9541
8,11,65.202,1239,9541
9,27,65.385,1239,9541
10,31,65.883,1239,9541
11,3,65.289,1239,9541
12,20,65.347,1239,9541
13,10,65.359,1239,9541
14,22,65.412,1239,9541
15,14,65.639,1239,9541
16,23,65.736,1239,9541
17,18,65.819,1239,9541
18,77,65.847,1239,9541
19,2,65.856,1239,9541
20,24,66.061,1239,9541
