position,driver_number,lap_duration,meeting_key,session_key
1,63,92.312,1250,9640
2,55,92.41,1250,9640
3,10,92.664,1250,9640
4,16,92.783,1250,9640
5,1,92.797,1250,9640
6,4,93.008,1250,9640
7,22,93.029,1250,9640
8,81,93.033,1250,9640
9,27,93.062,1250,9640
10,44,108.106,1250,9640
11,31,93.221,1250,9640
12,20,93.297,1250,9640
13,24,93.566,1250,9640
14,30,94.257,1250,9640
15,11,94.155,1250,9640
16,14,94.258,1250,9640
17,23,94.425,1250,9640
18,18,94.484,1250,9640
19,77,94.43,1250,9640
20,43,93.749,1250,9640
