position,driver_number,lap_duration,meeting_key,session_key
1,16,113.754,1242,9570
2,11,113.765,1242,9570
3,44,113.835,1242,9570
4,4,113.981,1242,9570
5,81,114.027,1242,9570
6,63,114.184,1242,9570
7,55,114.477,1242,9570
8,14,114.765,1242,9570
9,31,114.81,1242,9570
10,23,114.473,1242,9570
11,1,113.159,1242,9570
12,10,114.635,1242,9570
13,3,114.682,1242,9570
14,77,114.764,1242,9570
15,18,115.716,1242,9570
16,27,116.308,1242,9570
17,20,116.5,1242,9570
18,2,117.23,1242,9570
19,24,117.775,1242,9570
20,22,116.593,1242,9570
