position,driver_number,lap_duration,meeting_key,session_key
1,4,82.595,1252,9658
2,81,82.804,1252,9658
3,55,82.824,1252,9658
4,1,82.945,1252,9658
5,10,82.984,1252,9658
6,63,83.132,1252,9658
7,27,82.886,1252,9658
8,14,83.196,1252,9658
9,77,83.204,1252,9658
10,11,83.264,1252,9658
11,22,83.419,1252,9658
12,30,83.472,1252,9658
13,18,83.784,1252,9658
14,20,83.877,1252,9658
15,24,83.88,1252,9658
16,44,83.887,1252,9658
17,61,84.105,1252,9658
18,23,83.821,1252,9658
19,16,83.833,1252,9658
20,43,83.912,1252,9658
