position,driver_number,lap_duration,meeting_key,session_key
1,63,72.0,1237,9527
2,1,72.0,1237,9527
3,4,72.021,1237,9527
4,81,72.103,1237,9527
5,3,72.178,1237,9527
6,14,72.228,1237,9527
7,44,72.28,1237,9527
8,22,72.414,1237,9527
9,18,72.701,1237,9527
10,23,72.796,1237,9527
11,16,72.691,1237,9527
12,55,72.728,1237,9527
13,2,72.736,1237,9527
14,20,72.916,1237,9527
15,10,72.94,1237,9527
16,11,73.326,1237,9527
17,27,73.978,1237,9527
18,31,73.435,1237,9527
19,77,73.366,1237,9527
20,24,74.292,1237,9527
