position,driver_number,lap_duration,meeting_key,session_key
1,63,85.819,1240,9554
2,44,85.99,1240,9554
3,4,86.03,1240,9554
4,1,86.203,1240,9554
5,81,86.237,1240,9554
6,27,86.338,1240,9554
7,55,86.509,1240,9554
8,18,86.585,1240,9554
9,23,86.64,1240,9554
10,14,86.917,1240,9554
11,16,87.097,1240,9554
12,2,87.175,1240,9554
13,22,87.269,1240,9554
14,24,87.867,1240,9554
15,3,87.949,1240,9554
16,77,92.431,1240,9554
17,20,92.905,1240,9554
18,31,94.557,1240,9554
19,11,98.348,1240,9554
20,10,99.804,1240,9554
