position,driver_number,lap_duration,meeting_key,session_key
1,1,87.241,1234,9498
2,16,87.382,1234,9498
3,55,87.455,1234,9498
4,11,87.46,1234,9498
5,4,87.594,1234,9498
6,81,87.675,1234,9498
7,63,88.067,1234,9498
8,44,88.107,1234,9498
9,27,88.146,1234,9498
10,22,88.192,1234,9498
11,18,88.222,1234,9498
12,10,88.324,1234,9498
13,31,88.371,1234,9498
14,23,88.413,1234,9498
15,14,88.427,1234,9498
16,77,88.463,1234,9498
17,2,88.487,1234,9498
18,20,88.619,1234,9498
19,24,88.824,1234,9498
20,3,88.617,1234,9498
