position,driver_number,lap_duration,meeting_key,session_key
1,55,75.946,1248,9621
2,1,76.171,1248,9621
3,4,76.26,1248,9621
4,16,76.265,1248,9621
5,63,76.356,1248,9621
6,44,76.651,1248,9621
7,20,76.886,1248,9621
8,10,76.892,1248,9621
9,23,77.065,1248,9621
10,27,77.365,1248,9621
11,22,77.129,1248,9621
12,30,77.162,1248,9621
13,14,77.168,1248,9621
14,18,77.294,1248,9621
15,77,77.817,1248,9621
16,43,77.558,1248,9621
17,81,77.597,1248,9621
18,11,77.611,1248,9621
19,24,78.072,1248,9621
20,31,77.617,1248,9621
